channel 5, range 120, amp 510, level 7, msec 1540979392247, tick 417727
channel 5, range 121, amp 508, level 7, msec 1540979392247, tick 417733
channel 5, range 121, amp 509, level 7, msec 1540979392247, tick 417738
channel 6, range 125, amp 737, level 7, msec 1540979392248, tick 419500
channel 5, range 120, amp 509, level 7, msec 1540979392249, tick 417744
channel 6, range 124, amp 740, level 7, msec 1540979392254, tick 419505
channel 5, range 120, amp 510, level 7, msec 1540979392255, tick 417749
channel 6, range 124, amp 737, level 7, msec 1540979392259, tick 419511
channel 5, range 120, amp 509, level 7, msec 1540979392263, tick 417755
channel 6, range 124, amp 739, level 7, msec 1540979392265, tick 419516
channel 5, range 120, amp 509, level 7, msec 1540979392266, tick 417760
channel 6, range 124, amp 739, level 7, msec 1540979392270, tick 419522
channel 5, range 120, amp 509, level 7, msec 1540979392272, tick 417766
channel 6, range 124, amp 740, level 7, msec 1540979392276, tick 419527
channel 5, range 120, amp 509, level 7, msec 1540979392296, tick 417771
channel 5, range 121, amp 510, level 7, msec 1540979392296, tick 417777
channel 5, range 121, amp 509, level 7, msec 1540979392296, tick 417782
channel 5, range 120, amp 508, level 7, msec 1540979392296, tick 417788
channel 6, range 124, amp 739, level 7, msec 1540979392296, tick 419533
channel 6, range 123, amp 739, level 7, msec 1540979392296, tick 419538
channel 6, range 124, amp 741, level 7, msec 1540979392296, tick 419544
channel 6, range 124, amp 739, level 7, msec 1540979392298, tick 419550
channel 5, range 120, amp 510, level 7, msec 1540979392299, tick 417794
channel 6, range 124, amp 740, level 7, msec 1540979392311, tick 419555
channel 6, range 125, amp 737, level 7, msec 1540979392311, tick 419561
channel 5, range 121, amp 511, level 7, msec 1540979392311, tick 417799
channel 5, range 120, amp 510, level 7, msec 1540979392311, tick 417805
channel 6, range 124, amp 740, level 7, msec 1540979392315, tick 419566
channel 5, range 121, amp 508, level 7, msec 1540979392316, tick 417810
channel 6, range 125, amp 741, level 7, msec 1540979392321, tick 419572
channel 5, range 120, amp 509, level 7, msec 1540979392321, tick 417816
channel 6, range 124, amp 741, level 7, msec 1540979392325, tick 419577
channel 5, range 120, amp 510, level 7, msec 1540979392327, tick 417821
channel 6, range 124, amp 734, level 7, msec 1540979392332, tick 419583
channel 5, range 120, amp 509, level 7, msec 1540979392335, tick 417827
channel 6, range 124, amp 740, level 7, msec 1540979392368, tick 419588
channel 6, range 124, amp 739, level 7, msec 1540979392368, tick 419594
channel 6, range 124, amp 741, level 7, msec 1540979392368, tick 419599
channel 6, range 124, amp 740, level 7, msec 1540979392368, tick 419605
channel 6, range 124, amp 740, level 7, msec 1540979392368, tick 419611
channel 6, range 124, amp 742, level 7, msec 1540979392368, tick 419616
channel 5, range 120, amp 508, level 7, msec 1540979392368, tick 417832
