channel 8, range 143, amp 673, level 7, msec 1540981195665, tick 2227018
channel 8, range 141, amp 674, level 7, msec 1540981195668, tick 2227024
channel 9, range 143, amp 635, level 8, msec 1540981195666, tick 12517398
channel 8, range 141, amp 674, level 7, msec 1540981195675, tick 2227030
channel 8, range 145, amp 665, level 7, msec 1540981195679, tick 2227035
channel 9, range 144, amp 631, level 8, msec 1540981195673, tick 12517404
channel 9, range 143, amp 636, level 8, msec 1540981195679, tick 12517410
channel 8, range 141, amp 674, level 7, msec 1540981195685, tick 2227041
channel 8, range 136, amp 654, level 7, msec 1540981195690, tick 2227046
channel 9, range 143, amp 633, level 8, msec 1540981195686, tick 12517417
channel 8, range 141, amp 674, level 7, msec 1540981195696, tick 2227052
channel 8, range 148, amp 670, level 7, msec 1540981195702, tick 2227057
channel 9, range 143, amp 634, level 8, msec 1540981195692, tick 12517423
channel 9, range 144, amp 633, level 8, msec 1540981195698, tick 12517430
channel 8, range 141, amp 674, level 7, msec 1540981195707, tick 2227063
channel 8, range 141, amp 674, level 7, msec 1540981195712, tick 2227068
channel 9, range 145, amp 633, level 8, msec 1540981195705, tick 12517436
channel 9, range 145, amp 635, level 8, msec 1540981195711, tick 12517442
channel 9, range 145, amp 633, level 8, msec 1540981195718, tick 12517449
channel 8, range 141, amp 674, level 7, msec 1540981195718, tick 2227074
channel 9, range 143, amp 635, level 8, msec 1540981195724, tick 12517455
channel 9, range 144, amp 634, level 8, msec 1540981195730, tick 12517462
channel 8, range 141, amp 660, level 7, msec 1540981195726, tick 2227079
channel 8, range 141, amp 673, level 7, msec 1540981195729, tick 2227085
channel 8, range 139, amp 675, level 7, msec 1540981195734, tick 2227091
channel 9, range 143, amp 634, level 8, msec 1540981195736, tick 12517468
channel 8, range 143, amp 674, level 7, msec 1540981195740, tick 2227096
channel 8, range 147, amp 669, level 7, msec 1540981195746, tick 2227102
channel 8, range 141, amp 674, level 7, msec 1540981195751, tick 2227107
channel 8, range 144, amp 677, level 7, msec 1540981195757, tick 2227113
channel 9, range 144, amp 636, level 8, msec 1540981195743, tick 12517474
channel 9, range 143, amp 634, level 8, msec 1540981195749, tick 12517481
channel 8, range 141, amp 674, level 7, msec 1540981195762, tick 2227118
