num, id,      sn,       name,	   cpuUsage,	   diskUsage,	   memoryUsage,	   tofReboot, GW02Reboot, ForwardReboot(N/A), skuPreReboot(N/A),	   rebootTimes,	   skuTimes,     status,  offlineTimes,      fromTime,            toTime,        onlineTime(m),  offlineTime(m),   tofConflictNum,      index
013, 22, 5410ec33a0b6, GWSL-022,        0,        0,        0,        0,        0,           0,              0,        0,        0,   offline,       0,    2018-11-16 11:16,    2018-11-16 20:28,          0,          552,       0,                N/A
014, 23, 5410ec337f26, GWSL-023,        0,        0,        0,        0,        0,           0,              0,        0,        0,   offline,       0,    2018-11-16 11:16,    2018-11-16 20:28,          0,          552,       0,                N/A
015, 24, 5410ec336861, GWSL-024,        0,        0,        0,        0,        0,           0,              0,        0,        0,   offline,       0,    2018-11-16 11:16,    2018-11-16 20:28,          0,          552,       0,                N/A
016,  2, 5410ec33d680, GWSL-002,       18,        0,        0,        1,        0,           0,              0,        0,        0,    online,       0,    2018-11-16 11:16,    2018-11-16 20:28,        552,            0,       0,                N/A
017,  3, 5410ec33c15a, GWSL-003,       39,        0,        0,        1,        0,           0,              1,        0,        0,    online,       0,    2018-11-16 11:16,    2018-11-16 20:28,        552,            0,       0,                N/A
018,  4, 5410ec33c0b4, GWSL-004,        0,        0,        0,        0,        0,           0,              0,        0,        0,   offline,       1,    2018-11-16 11:16,    2018-11-16 20:28,          0,          552,       0,                N/A
019,  5, 5410ec3406df, GWSL-005,       23,        0,        0,        1,        0,           0,              0,        0,        0,    online,       0,    2018-11-16 11:16,    2018-11-16 20:28,        552,            0,       0,                N/A
020,  6, d88039a3c10f, GWSL-006,       41,        0,        0,        1,        0,           0,              0,        0,        0,    online,       0,    2018-11-16 11:16,    2018-11-16 20:28,        552,            0,       0,                N/A
021,  7, 5410ec337f61, GWSL-007,       14,        0,        0,        0,        0,           0,              0,        0,        0,    online,       0,    2018-11-16 11:16,    2018-11-16 20:28,        552,            0,       0,                N/A
022, 12, d88039a38743, GWSL-012,       22,        0,        0,        1,        0,           0,              1,        0,        0,    online,       0,    2018-11-16 11:16,    2018-11-16 20:28,        552,            0,       0,                N/A
023, 14, d88039a36f49, GWSL-014,       34,        0,        0,        0,        0,           0,              0,        0,        0,    online,       0,    2018-11-16 11:16,    2018-11-16 20:28,        552,            0,       0,                N/A
024, 17, cc4b731d29e6, GWSL-017,        0,        0,        0,        0,        0,           0,              0,        0,        0,   offline,       0,    2018-11-16 11:16,    2018-11-16 20:28,          0,          552,       0,                N/A
025, 25, 5410ec33bb6c, GWSL-025,        0,        0,        0,        0,        0,           0,              0,        0,        0,   offline,       0,    2018-11-16 11:16,    2018-11-16 20:28,          0,          552,       0,                N/A
026, 26, d88039a350ea, GWSL-026,        0,        0,        0,        0,        0,           0,              0,        0,        0,   offline,       0,    2018-11-16 11:16,    2018-11-16 20:28,          0,          552,       0,                N/A
027, 27, d88039a32f94, GWSL-027,        0,        0,        0,        0,        0,           0,              0,        0,        0,   offline,       0,    2018-11-16 11:16,    2018-11-16 20:28,          0,          552,       0,                N/A
028, 28, 5410ec33bb64, GWSL-028,        0,        0,        0,        0,        0,           0,              0,        0,        0,   offline,       0,    2018-11-16 11:16,    2018-11-16 20:28,          0,          552,       0,                N/A
029, 29, d88039a34fbf, GWSL-029,        0,        0,        0,        0,        0,           0,              0,        0,        0,   offline,       0,    2018-11-16 11:16,    2018-11-16 20:28,          0,          552,       0,                N/A
030, 30, 5410ec33f3e3, GWSL-030,        0,        0,        0,        0,        0,           0,              0,        0,        0,   offline,       0,    2018-11-16 11:16,    2018-11-16 20:28,          0,          552,       0,                N/A
031, 31, 5410ec3379b4, GWSL-031,        0,        0,        0,        0,        0,           0,              0,        0,        0,   offline,       0,    2018-11-16 11:16,    2018-11-16 20:28,          0,          552,       0,                N/A
032, 32, d88039a372fc, GWSL-032,        0,        0,        0,        0,        0,           0,              0,        0,        0,   offline,       0,    2018-11-16 11:16,    2018-11-16 20:28,          0,          552,       0,                N/A
033, 33, 5410ec33ba38, GWSL-033,        0,        0,        0,        0,        0,           0,              0,        0,        0,   offline,       0,    2018-11-16 11:16,    2018-11-16 20:28,          0,          552,       0,                N/A
034, 34, 5410ec33bcbb, GWSL-034,        0,        0,        0,        0,        0,           0,              0,        0,        0,   offline,       0,    2018-11-16 11:16,    2018-11-16 20:28,          0,          552,       0,                N/A
